,Parametro,Prob,
1550,ESPACIO ECOLOGICO CUICUILCO,1.72E-05,
1427,EL RINCON,1.72E-05,
590,LAS MAROMAS,1.72E-05,
1348,PEDREGAL DE AMINCO,1.72E-05,
1546,VILLA ESMERALDA,1.14E-05,
1406,LADERA,1.14E-05,
1317,MULTIROL TLAXCANES (HERRADURA TLAXCANES),1.14E-05,
1590,UNIVERSAL,1.14E-05,
1592,TLAXCALTENCO LA MESA,1.14E-05,
1461,Paseo de las Lomas (Alta Vista),1.14E-05,
1527,BOSCOSO,1.14E-05,
1548,TECALCAPA DEL PUEBLO TETELPAN,1.14E-05,
1575,RINCON DE GUANAJUATO,1.14E-05,
1577,RIO DE GUADALUPE FOVISSSTE,1.14E-05,
740,COMPANIA DE LUZ,1.14E-05,
1576,EL BOSQUE - CONDOMINIO,1.14E-05,
1354,AREA FEDERAL PANTEON CIVIL SAN NICOLAS TOLENTINO,1.14E-05,
1400,INSURGENTES SAN ANGEL,1.14E-05,
1381,VERONICA CASTRO,1.14E-05,
1401,DIAMANTE,1.14E-05,
1545,GAVILAN I II III Y IV,1.14E-05,
1444,BARRIO DE CARAMAGÃEY,1.14E-05,
1587,VILLA DE SAN FRANCISCO,1.14E-05,
1387,LA MAGUEYERA,1.14E-05,
1585,U.S.I.T.A.T.Y.R.,1.14E-05,
710,COPILCO,1.14E-05,
1434,VISTA HERMOSA I,1.14E-05,
1580,ZONA DE RESERVA ECOLOGICA,1.14E-05,
1581,LORETO Y PENA POBRE,1.14E-05,
1568,TLACAELEL 2,1.14E-05,
1483,BELEN DE LAS FLORES SECCION LOMITA,1.14E-05,
1264,MIGUEL GAONA ARMENTA,1.14E-05,
1533,ACASULCO,1.14E-05,
1244,LA ESCALERA,1.14E-05,
1519,RINCON DE SAN JUAN,1.14E-05,
1508,SAN JOSE ZACATEPEC,1.14E-05,
1477,TEPEYECA,1.14E-05,
1532,COLORINES,1.14E-05,
1517,EL MIRADOR (NATIVITAS),1.14E-05,
1486,TEQUIMILA,1.14E-05,
1487,EL ARENAL,1.14E-05,
1505,RESIDENCIAL LA CANTERA,1.14E-05,
1538,SAN AGUSTIN (DEL PUEBLO DE SAN ANDRES MIXQUIC),1.14E-05,
1559,SAN DIEGO,1.14E-05,
1565,REDENCION,1.14E-05,
72,CENTRO,0.026086708,
84,DEL VALLE CENTRO,0.013781657,
29,DOCTORES,0.011395049,
27,ROMA NORTE,0.01101159,
46,NARVARTE,0.010954357,
34,AGRICOLA ORIENTAL,0.009071398,
170,BUENAVISTA,0.008436114,
3,MORELOS,0.007966805,
78,GUERRERO,0.007709257,
53,AGRICOLA PANTITLAN,0.007692088,
37,JUÃREZ,0.007188439,
55,PEDREGAL DE SANTO DOMINGO,0.006942338,
206,POLANCO,0.006673344,
119,PORTALES SUR,0.006209758,
94,SANTA MARIA LA RIBERA,0.005780512,
203,CENTRAL DE ABASTO,0.005660323,
209,OBRERA,0.005482902,
105,ANAHUAC,0.005047932,
193,GRANJAS MEXICO,0.004933467,
131,JARDIN BALBUENA,0.004864788,
66,HIPODROMO,0.004715982,
110,SAN ANDRES TOTOLTEPEC,0.004681643,
68,SANTA CRUZ ATOYAC,0.00464158,
104,NAPOLES,0.004601517,
226,DESARROLLO URBANO QUETZALCOATL,0.004504221,
213,LINDAVISTA,0.004315353,
106,EL ROSARIO,0.004235227,
97,ROMA SUR,0.004189441,
70,ZONA CENTRO,0.004166547,
472,SAN FELIPE DE JESUS,0.004126484,
181,SAN PEDRO DE LOS PINOS,0.004017742,
92,DEL CARMEN,0.004000572,
350,CUAUHTEMOC,0.003994849,
115,AJUSCO,0.003954786,
57,SANTA CRUZ MEYEHUALCO,0.003886107,
100,ÃLAMOS,0.003880383,
101,CHINAMPAC DE JUÃREZ,0.003760195,
