,Parametro,Prob,,
16978,DOCTOR MARTINEZ DEL RIO,8.01E-05,,
6669,PASTORES,8.01E-05,,
4000,SAN MATIAS,8.01E-05,,
10469,CTO. INTERIOR MELCHOR OCAMPO,8.01E-05,,
19140,SAN PABLO XALPA,8.01E-05,,
11068,NORTE 86 A,8.01E-05,,
4031,COLINA,8.01E-05,,
15613,DE LA CRUZ,8.01E-05,,
1101,CALZ. DE LA VIRGEN,8.01E-05,,
4500,AVENIDA VIADUCTO RIO DE LA PIEDAD,8.01E-05,,
719,JOSE SANCHEZ TRUJILLO,8.01E-05,,
3405,ADELINA PATTI,8.01E-05,,
14707,ANGEL ALBINO CORSO,8.01E-05,,
14574,23,8.01E-05,,
1678,ALBERTO BRANIFF,8.01E-05,,
3739,AV. REPUBLICAS,8.01E-05,,
5963,SABINOS,8.01E-05,,
1454,FLORINES,8.01E-05,,
6095,MAESTRO ANTONIO CASO,8.01E-05,,
15405,AVENIDA DOS,8.01E-05,,
4295,CALLE C,8.01E-05,,
3747,SAN LUIS,8.01E-05,,
3743,AV CAPITAN CARLOS LEON,8.01E-05,,
12770,DEMOCRACIAS,8.01E-05,,
1462,FRANCIA,8.01E-05,,
1461,ESTACION DEL METRO BALDERAS,8.01E-05,,
741,DOCTOR OLVERA,8.01E-05,,
10960,LINARES,8.01E-05,,
17346,FUNDIDORA DE MONTERREY,8.01E-05,,
6158,PABLO GONZALEZ,8.01E-05,,
6195,ALFARERIA,8.01E-05,,
12835,ATIZAPAN DE ZARAGOZA,8.01E-05,,
19427,ACATEMPA,8.01E-05,,
7440,BANDERA,8.01E-05,,
1149,NUBIA,8.01E-05,,
10257,VILLA DIEZMA,8.01E-05,,
11139,MATLACOATL,8.01E-05,,
4301,ICACOS,8.01E-05,,
1525,AVENIDA 606,8.01E-05,,
6086,4,8.01E-05,,
783,CALZ. CHABACANO,8.01E-05,,
8684,CHOPIN,8.01E-05,,
4227,CALLE 32,8.01E-05,,
8683,JOSE ARRESE,8.01E-05,,
10375,VENTISCA,8.01E-05,,
6436,BUTACARIS,8.01E-05,,
10928,RICARDO BELL,8.01E-05,,
1124,POMUCH,8.01E-05,,
4348,YAQUI,8.01E-05,,
7833,SEGUNDO PISO DEL PERIFERICO,8.01E-05,,
1583,AV. PRIMERO DE MAYO,8.01E-05,,
4338,AVENIDA FELIX CUEVAS,8.01E-05,,
3820,ACANTO,8.01E-05,,
8611,DR. NORMA,8.01E-05,,
10186,CATARROJA,8.01E-05,,
4321,CHILPA,8.01E-05,,
10210,TLAHUAC,8.01E-05,,
18055,DIAG. SAN ANTONIO,8.01E-05,,
5127,AVENIDA PRIMERO DE MAYO,8.01E-05,,
1074,PASO DEL NORTE,8.01E-05,,
11473,TASMANIA,8.01E-05,,
2371,SANTA URSULA,8.01E-05,,
2753,AVENIDA RIO DE LOS REMEDIOS,8.01E-05,,
5033,GUADALAJARA,8.01E-05,,
2765,CAOBA,8.01E-05,,
11960,ZOLTAN KODALY,8.01E-05,,
11961,OKLAHOMA,8.01E-05,,
2341,ROBERTO GAYOL,8.01E-05,,
5017,JUPITER,8.01E-05,,
6540,ALFONSO XIII,8.01E-05,,
2323,DOLORES GUERRERO,8.01E-05,,
5405,MAR DE LA TRANQUILIDAD,8.01E-05,,
12006,AV PATRIOTISMO,8.01E-05,,
5001,JOSE PEON CONTRERAS,8.01E-05,,
4995,MAGDALENO ITA,8.01E-05,,
5431,AVENIDA PUENTE DE ALVARADO,8.01E-05,,
227,CALZADA GENERAL MARIANO ESCOBEDO,8.01E-05,,
2848,3,8.01E-05,,
7730,GONZALEZ ORTEGA,8.01E-05,,
1005,JAIME BALMES,8.01E-05,,
2224,SAN EMETERIO,8.01E-05,,
12091,GUTIERREZ ZAMORA,8.01E-05,,
5354,PLAYA COPACABANA,8.01E-05,,
9278,ESTADO DE ZACATECAS,8.01E-05,,
5052,TEKAX,8.01E-05,,
2630,CALLE 41,8.01E-05,,
8147,DEBUSSY,8.01E-05,,
11769,EXTREMADURA,8.01E-05,,
24869,CTO. INT. (BLVD. PUERTO AEREO),8.01E-05,,
2560,AVENIDA CANAL DE APATLACO,8.01E-05,,
18558,HELIOTROPO,8.01E-05,,
2539,NORTE 64,8.01E-05,,
288,CALLE 311,8.01E-05,,
6562,AV. DE LOS MAESTROS,8.01E-05,,
2498,AHUANUSCO,8.01E-05,,
5261,REY NEZAHUALCOYOTL,8.01E-05,,
6551,307,8.01E-05,,
7610,SALVADOR ALLENDE,8.01E-05,,
7157,ERMITA,8.01E-05,,
303,PRINCIPAL,8.01E-05,,
2684,ESMERALDA,8.01E-05,,
7641,LAGO PEYPUS,8.01E-05,,
16448,CANARIOS,8.01E-05,,
2701,DOCTOR DURAN,8.01E-05,,
18678,LAGUNA DEL CARMEN,8.01E-05,,
2428,AVENIDA OJO DE AGUA,8.01E-05,,
9123,CONTADORES,8.01E-05,,
916,TENANGO,8.01E-05,,
24396,CALLE A,8.01E-05,,
4698,SERICULTURA,8.01E-05,,
2059,AVENIDA CANTERA,8.01E-05,,
12365,ACAPULCO,8.01E-05,,
4657,SALAMANCA,8.01E-05,,
4816,EJE TRES,8.01E-05,,
4786,XONTEPEC,8.01E-05,,
18234,JUAN A. MATEOS,8.01E-05,,
866,ORIENTE 108,8.01E-05,,
8898,AV. FRANCISCO MORAZAN,8.01E-05,,
15732,LUCERNA,8.01E-05,,
4656,RIO SENA,8.01E-05,,
13932,TAXQUENA,8.01E-05,,
3150,VILLA INFERIOR,8.01E-05,,
5691,ERNESTO ELORDUY,8.01E-05,,
13562,CAROLINA,8.01E-05,,
1978,HEROES DE 1810,8.01E-05,,
6844,SAN MATEO,8.01E-05,,
9725,AV. JAVIER BARROS SIERRA,8.01E-05,,
2075,BATALLA 5 DE MAYO,8.01E-05,,
4857,BARRANQUILLA,8.01E-05,,
11144,CAMINO DE LA UNION,8.01E-05,,
6615,LAGUNA DEL ENSUENO,8.01E-05,,
1073,DR. LAVISTA,8.01E-05,,
4895,ARIZONA,8.01E-05,,
360,DR BARRAGAN,8.01E-05,,
4892,VARSOVIA,8.01E-05,,
11422,AV. INDEPENDENCIA,8.01E-05,,
8825,CORAL,8.01E-05,,
2971,AMAPOLA,8.01E-05,,
9025,SUPERMANZANA 1,8.01E-05,,
1835,OCOTEPEC,8.01E-05,,
9930,20 DE AGOSTO,8.01E-05,,
9420,ILHUICAMINA,8.01E-05,,
11413,ALTAMIRA,8.01E-05,,
4858,CALZADA SAN SIMON,8.01E-05,,
16838,SUR 163,8.01E-05,,
699,NARANJOS,7.44E-05,,
8159,SIERRA DE PINOS,7.44E-05,,
689,DIAGONAL 20 DE NOVIEMBRE,7.44E-05,,
13041,GABINO BARRERA,7.44E-05,,
6676,ANDADOR 2,7.44E-05,,
1090,AVENIDA ZACATLAN,7.44E-05,,
15111,FERROCARRIL DE RIO FRIO,7.44E-05,,
6564,SALONICA,7.44E-05,,
6552,BATALLON DE ZACAPOAXTLA,7.44E-05,,
14883,PASEO DE ESPANA,7.44E-05,,
7969,SAN SEBASTIAN,7.44E-05,,
1180,LAFONTAINE,7.44E-05,,
14888,PUERTO PAPANTLA,7.44E-05,,
28210,CERRADA HIDALGO,7.44E-05,,
6420,CAMINO A LAS MINAS,7.44E-05,,
8174,HABANA,7.44E-05,,
748,ATLACOMULCO,7.44E-05,,
752,JICOTE,7.44E-05,,
8009,MONSERRAT,7.44E-05,,
7986,CAMINO DEL ESFUERZO,7.44E-05,,
1142,CIRUELOS,7.44E-05,,
1038,ADOLFO RUIZ CORTINES,7.44E-05,,
8083,LAGO GRAN OSO,7.44E-05,,
8079,LANGOSTA,7.44E-05,,
13182,AV. ACUEDUCTO DE GUADALUPE,7.44E-05,,
942,PROL. PASEO DE LA REFORMA,7.44E-05,,
8069,PROLONGACION UXMAL,7.44E-05,,
8234,GOUNOD,7.44E-05,,
3693,CERDENA,7.44E-05,,
8311,AVENIDA PRINCIPAL,7.44E-05,,
2927,TARASCOS,7.44E-05,,
11146,AVENIDA MONTE DE LAS CRUCES,7.44E-05,,
4617,TEPALCATZIN,7.44E-05,,
4680,COYUYA,7.44E-05,,
9830,HORACIO SOBARZO,7.44E-05,,
9828,SHAKESPEARE,7.44E-05,,
3094,AV. SAN FRANCISCO,7.44E-05,,
9792,CAMPO MATILLAS,7.44E-05,,
3081,JESUS LECUONA,7.44E-05,,
3073,TEPETATES,7.44E-05,,
3066,CALLE 65,7.44E-05,,
9746,JOAQUIN HERRERA,7.44E-05,,
2960,DEODATO,7.44E-05,,
9674,TEJOCOTE,7.44E-05,,
2926,JUAN DE DIOS PESA,7.44E-05,,
1208,AVENIDA CONTRERAS,7.44E-05,,
2925,ORQUIDEAS,7.44E-05,,
4899,CARROCEROS,7.44E-05,,
2911,URSULO GALVAN,7.44E-05,,
9660,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,7.44E-05,,
2875,NAVIDAD,7.44E-05,,
11518,JAMES SULLIVAN,7.44E-05,,
11529,LEBRIJA,7.44E-05,,
4967,CIRCUITO EXTERIOR,7.44E-05,,
5025,AV. UNION,7.44E-05,,
2743,CENTRAL SUR,7.44E-05,,
9495,ACOLHUACAN,7.44E-05,,
9484,SUR 133,7.44E-05,,
2603,PROL. 5 DE MAYO,7.44E-05,,
3317,DIAGONAL DE SAN ANTONIO,7.44E-05,,
3329,OSA MENOR,7.44E-05,,
4559,JESUS GARIBAY,7.44E-05,,
9992,NEXTENGO,7.44E-05,,
3966,AVENIDA YUCATAN,7.44E-05,,
3949,JERICO,7.44E-05,,
10533,SAN GUILLERMO,7.44E-05,,
10547,BRUNO TRAVEN,7.44E-05,,
3929,BATALLA DE LOMA ALTA,7.44E-05,,
4062,TECPAN DE GALEANA,7.44E-05,,
10576,TULA,7.44E-05,,
3887,NORTE 5,7.44E-05,,
17460,ING. EDUARDO MOLINA,7.44E-05,,
4098,11 DE AGOSTO DE 1859,7.44E-05,,
3807,CALLE 35,7.44E-05,,
3732,MARIO MORENO,7.44E-05,,
31971,CARRETERA FEDERAL MEXICO-CUERNAVACA,7.44E-05,,
4235,COMUNAL,7.44E-05,,
3701,PUERTO ALVARADO,7.44E-05,,
3671,ENSENANZA,7.44E-05,,
10806,CORINA,7.44E-05,,
10850,AV.  MEXICO,7.44E-05,,
3544,LINO MERINO,7.44E-05,,
3535,PLAN SEXENAL,7.44E-05,,
10126,REPUBLICA DE PARAGUAY,7.44E-05,,
3514,PEDRO MARIA ANAYA,7.44E-05,,
3511,MANAGUA,7.44E-05,,
11031,CRISTOBAL COLON,7.44E-05,,
3381,MAXTLA,7.44E-05,,
17029,CEREZO,7.44E-05,,
18013,ZACATEPEC,7.44E-05,,
11767,ORIENTE 159,7.44E-05,,
9402,SOTO Y GAMA,7.44E-05,,
5224,NUEVE,7.44E-05,,
8793,GOLFO DE TEHUANTEPEC,7.44E-05,,
5898,LIRIO ACUATICO,7.44E-05,,
5931,BERTHA,7.44E-05,,
1694,DIENTE DE LEON,7.44E-05,,
1667,APATLACO,7.44E-05,,
1660,LAGOS DE MORENO,7.44E-05,,
8682,VENTURINA,7.44E-05,,
1649,CERRO DEL CUBILETE,7.44E-05,,
1625,AVENIDA STIM,7.44E-05,,
15503,AVENIDA FUENTES BROTANTES,7.44E-05,,
6018,AV. MINAS,7.44E-05,,
