,Parametro,Prob,,
45608,CALLE VOLCAN PICO DE ORIZABA,5.72E-06,,
45609,PROLONGACION ROSA  BLANCA,5.72E-06,,
45610,ASTRONIMIA,5.72E-06,,
45611,BAR KINKY (AMBERES),5.72E-06,,
45612,CANA DE OTHENCO,5.72E-06,,
45613,AV. PUERTO DE MAZATLAN,5.72E-06,,
45614,CERRO DE TEPONAXTLE,5.72E-06,,
45615,GOLDSMITH  ESQUINA,5.72E-06,,
45616,URANIO (CULTURA NORTE),5.72E-06,,
45591,INTERIOR DE ARTICULO 4TO,5.72E-06,,
45590,OTE. 239-E,5.72E-06,,
45589,TLOLZIN,5.72E-06,,
45588,SANTIAGO XICONTECATL,5.72E-06,,
45565,AV SUR 8,5.72E-06,,
45566,AV. AGRICOLA (NO ESTA MARCADA),5.72E-06,,
45567,EJE 5 SUR LEYES DE REFORMA,5.72E-06,,
45568,"NORTE 67 NUMERO 3409 EDIFICIO L, DEPARTAMENTO 4",5.72E-06,,
45569,"CALLE CINE MEXICANO 479, EDIFICIO A, DEPTO 401",5.72E-06,,
45570,PATRICIA SANZ,5.72E-06,,
45571,INTERIOR DE LA PLAZA LAS ANTENAS,5.72E-06,,
45573,ENRIQUE CONTEL S/N EDF. F DPTO. 501,5.72E-06,,
45574,CALZADA ERMITA IZTAPALAPA DIRECCION HACIA CALZADA LA VIGA,5.72E-06,,
45575,12 DE JULIO DE 19859,5.72E-06,,
45576,TEPONAXTLI 6258,5.72E-06,,
45577,REMIGIO JIMENEZ,5.72E-06,,
45578,2a. CDA. RIVERO,5.72E-06,,
45579,SOBRE CARRETERA MEXICO-TOLUCA Y PASEO DE LAS LIRAS,5.72E-06,,
45580,SALIDA DEL METRO AZCAPOTZALCO,5.72E-06,,
45581,MONTE DE PIEDAD NUMERO 13 LOCAL 2 LETRA C,5.72E-06,,
45582,CERRADA FUEGO  FATUO MANZANA 6 LOTE 9,5.72E-06,,
45583,CAMINO  SAN BERNABE,5.72E-06,,
45584,HUACHINANGO MZ 11 LT 04,5.72E-06,,
45585,CAMINO AL  CERRO,5.72E-06,,
45587,CALZADA DE TLALPAN (ESTADIO AZTECA),5.72E-06,,
45730,SEGUNDA CERRADA  DE CAMINO AL LLANO  GRANDE,5.72E-06,,
45731,CALLE 3 #147,5.72E-06,,
45732,PERGOLEROS EDIFC C 8 502,5.72E-06,,
45892,CALLE BAJA CALIFORNIA SUR,5.72E-06,,
45880,EJE UNO NORTE (RAYON),5.72E-06,,
45881,AV.  EJE CENTRAL  LAZARO CARDENAS,5.72E-06,,
45882,PRIMERA DE  JUSTINIANO GARCIA  NUMERO  60,5.72E-06,,
45883,CERRADA PREDIO U-C-1,5.72E-06,,
45884,AV. PERGOLEROS,5.72E-06,,
45885,CERRADA DE MOCONETZIN,5.72E-06,,
45886,AVENIDA ACOXPA /PLAYCITY CASINO),5.72E-06,,
45887,AND DURAZNOS,5.72E-06,,
45888,NOCHEBUENA (NO ESTA MARCADA),5.72E-06,,
45891,2DA MORELOS,5.72E-06,,
45893,EJE DE  GUERRERO,5.72E-06,,
45905,PRIMERA PRIVADA DE FRANCISCO I MADERO,5.72E-06,,
45894,CALZADA ERMITA IZTAPALAPA EDIF A2 -406,5.72E-06,,
45895,BRASILIA SUR,5.72E-06,,
45896,CERRADA NEXTENGO,5.72E-06,,
45897,"AVENIDA DEL ROSAL, ESPECIFICAMENTE PASILLO DEL EDIFICIO B1",5.72E-06,,
45898,ARRECIBE,5.72E-06,,
45899,CIRCULAR DE MORELIA,5.72E-06,,
45900,AVENIDA ZACATLAN SIN NUMERO,5.72E-06,,
45901,HERACLIO BERNAL,5.72E-06,,
45902,PRIVADA JOSE ALVAREZ MANZANA 602,5.72E-06,,
45903,CALLE 2 ESQUINA CALLE HERLINDA,5.72E-06,,
45879,GALICIA FRENTE A EL NUMERO 24,5.72E-06,,
45878,PRIVADA DE EXCELSIOR,5.72E-06,,
45877,AVENIDA 3  SUR  BAJA  CALIFORNIA,5.72E-06,,
45876,FUENTE DE LOS MOLINOS,5.72E-06,,
45849,SUPER MANZANA 1   MANZANA 9   LOTE 31,5.72E-06,,
45850,AVENIDA CINCO DE MAYO Y MANUEL CANAS,5.72E-06,,
45852,SEGUNDA CERRADA DE LOPEZ PORTILLO NUMERO 73,5.72E-06,,
45853,AVENIDA FELIPE NERY,5.72E-06,,
45854,CERRADA TRECE DE SEPTIEMBRE,5.72E-06,,
45856,AUTOPISTA MEXICO TOLUCA.,5.72E-06,,
45858,CRATER TICHO,5.72E-06,,
45860,PROLONGACION CANAL DE MIRMAONTES 3835 EDIFICIO 17 DEPTO 503,5.72E-06,,
45861,CICLOPISTA Y MOLINITO,5.72E-06,,
45862,CALLE FRAY  BERNARDINO DE SAGIUN,5.72E-06,,
45863,1A CERRADA DE GREGORIO LOPEZ,5.72E-06,,
45864,PRIVADA ANGEL ZIMBRON,5.72E-06,,
45865,HACIENDA MAYORAZGO,5.72E-06,,
45866,CALLE PALOMA,5.72E-06,,
45867,ANDADOR DE TICOMAN,5.72E-06,,
45868,CANTERAS DE  OXTOPULCO,5.72E-06,,
45869,ANTONIO DOVALI AIME NO.70,5.72E-06,,
45871,SEGUNDA CERRADA DE FERROCARRIL INDUSTRIAL,5.72E-06,,
45873,PADRE HIDALGO ESQUINA CON ANTORCHA,5.72E-06,,
45874,AVENIDA  FERROCARRIL HIDALGO,5.72E-06,,
45875,FERROCARRILES NACIONALES  Y AZCAPOTZALCO,5.72E-06,,
45904,LA  RIBERA DE SAN COSME,5.72E-06,,
45906,PILARES FRENTE AL NUMERO 541,5.72E-06,,
45847,FLOR DE NARDO MZ 39 LT 6,5.72E-06,,
45944,CERRADA ABIGAIL,5.72E-06,,
45934,CALLE ABASOLO,5.72E-06,,
45935,CERRADA DE SAN JUNA,5.72E-06,,
45936,DR. BARRAGAN Y LUZ SAVINON,5.72E-06,,
45937,FRAY SAN FRANCISCO DE LOS ANGELES,5.72E-06,,
45938,CALLE PERA,5.72E-06,,
45939,CALLE JUVENCIA,5.72E-06,,
45940,AV. DISTRITO FEDERAL,5.72E-06,,
45941,CALLE PASO DE LA PATRIA,5.72E-06,,
45942,CANAL DE RIO CURUBUSCO Y EJE CUATRO,5.72E-06,,
45943,PROLONGACION CARTAGENA,5.72E-06,,
45947,TIANGUIS Y LA NARANJA,5.72E-06,,
45907,JOSE ESCOBEDO,5.72E-06,,
45948,GUERRERENSES Y QUERETANOS,5.72E-06,,
45949,AVENIDA CENTRAL  (PAPELERIA E INTERNET),5.72E-06,,
45950,AV. TLAHUAC.,5.72E-06,,
45952,PORLONGACION CINCO DE MAYO,5.72E-06,,
45953,CALLE 595,5.72E-06,,
45954,CJON. DE LA BOMBILLA,5.72E-06,,
45955,BAHIA DE LA MAGDALENA,5.72E-06,,
45956,PASILLO WX BODEGA X-98,5.72E-06,,
45957,GRAL. JOSE  MORAN,5.72E-06,,
45959,ESTACIONAMIENTO DE LA BODEGA 87 LETRA O,5.72E-06,,
45933,LAGUNA YURIRIA,5.72E-06,,
45932,CALLE NTE. 13 A,5.72E-06,,
45931,CORREOS  Y TELEGRAFOS,5.72E-06,,
45930,AV. PIPILA,5.72E-06,,
45908,BOULEVAR PERIFERICO,5.72E-06,,
45909,CALLE SALUD,5.72E-06,,
45910,LRIO,5.72E-06,,
45911,ALFONSO REYES ESQUINA CON TAMAULIPAS,5.72E-06,,
45912,CAMINO A VISTA HERMOSA,5.72E-06,,
45913,JOSE MARIA IZAZAGA ESQUINA CON JOSE MARIA PINO SUAREZ,5.72E-06,,
45914,SUR 14 A ESQUINA CON ROJO GOMEZ,5.72E-06,,
45915,METROBUS FELIX CUEVAS AVENIDA INSURGENTES,5.72E-06,,
45916,PASEO DE LA REFORMA FRENTE AL NUMERO 2693,5.72E-06,,
45917,AVENIDA SAN JUAN DE DIOS,5.72E-06,,
45918,CHANTICO,5.72E-06,,
45919,CERRADA DE JOSE RAMOS,5.72E-06,,
45920,PRMERA CERRADA DE CONTINUACION GALEANA,5.72E-06,,
45921,GALEANA ENTRE,5.72E-06,,
45922,AVENID A EJERCITO  NACIONAL,5.72E-06,,
45923,CAMINO REAL AL AJUSCO Y ARBOLEDAS,5.72E-06,,
45924,AVENIDA AZCAPOTZACO 470,5.72E-06,,
45925,AV. LEON DE LOS ALDAMAS,5.72E-06,,
45926,FRANCISCO DEL PASO Y GEOGRAFOS,5.72E-06,,
45928,CANAL FRANCIA,5.72E-06,,
45929,"NINOS HEROES DE CHAPULTEPEC NUM. 102, SALON DE USOS MULTIPLES",5.72E-06,,
45848,CARRETRA PICAHO AJUSCO,5.72E-06,,
45846,XOCHITl,5.72E-06,,
45733,CALOS DOLCI,5.72E-06,,
45773,HOSPITAL PEDIATRICO  ARAGON,5.72E-06,,
45761,BATALLA DE COLUMBUS,5.72E-06,,
45762,CORDOBA 68,5.72E-06,,
45764,AV. TEXCOCO 221,5.72E-06,,
45765,CERRADA ENRIQUE J GIFFARD,5.72E-06,,
45766,AVENIDA MINAS 74,5.72E-06,,
45768,CUACONCLE,5.72E-06,,
45769,PRIVADA DE CALLE 1,5.72E-06,,
45770,CALLEJON DE INDEPENDENCIA,5.72E-06,,
45771,CALZADADE LOS MISTERIOS,5.72E-06,,
45772,RIO  URUGUAY,5.72E-06,,
45774,AV.  SANTO TOMAS,5.72E-06,,
45789,ESQUINA DE PORTO ALEGRE,5.72E-06,,
45775,JARANDA (CINTEOTL),5.72E-06,,
45777,PERIFERICO SUR Y CALZADA DE TLALPAN,5.72E-06,,
45778,DOCTOR JOSE IGNACIO BARTOLACHE,5.72E-06,,
45780,GENERAL JOAQUIN AMARO,5.72E-06,,
45781,RINCON DEL BOSQUE,5.72E-06,,
45782,CALZ. DE LOS COMPOSITORES,5.72E-06,,
45784,AV LAS TORRES (FEDERACION MEXICANA DE FUTBOL ASOCIACION),5.72E-06,,
45785,PRIVADA MONSERRAT,5.72E-06,,
45786,A/010/2002 COL.  EL ROSARIO,5.72E-06,,
45787,ANDADOR PUENTE CORREO MAYOR,5.72E-06,,
45760,ANILLO PERIFERICO SUR  BOULEVAR ADOLFO LOPEZ MATEOS 4690,5.72E-06,,
45759,AV. INSURNEGTES SUR,5.72E-06,,
45758,CERRADA DE GUERRERO,5.72E-06,,
45757,METROBUS IZTACALCO,5.72E-06,,
45734,CARIDAD (NO SE UBICA LA CALLE),5.72E-06,,
45735,LOMAS VIRREYES       -NO ESTA MARCADA-,5.72E-06,,
45736,"ESTACION DEL METRO PORTALES, DIRECCION TAXQUENA",5.72E-06,,
45737,HORTENCIAS  (JDN. HORTENSIAS),5.72E-06,,
45738,MANUEL RESENDIZ (NO SE UBICA LA CALLE),5.72E-06,,
45739,ATOTOLCO CHINALCO,5.72E-06,,
45741,CALLE DE CANTERA,5.72E-06,,
45742,AVEIDA GUERRA DE REFORMA,5.72E-06,,
45743,FILOSFIA Y LETRAS,5.72E-06,,
45744,AVENIDA TAMAULIPAS LA ROSITA,5.72E-06,,
45745,NICOLAS CATALAN,5.72E-06,,
45746,CENTENARIO Y MALITZIN,5.72E-06,,
45747,PROLONGACION EUCALIPTO MZ 24 LT 8,5.72E-06,,
45748,CALLE CANAL DEL NORTE,5.72E-06,,
45749,CAMINO CUAZONTLES (NO SE UBICA EN COLONIA DE HECHOS),5.72E-06,,
45750,"AV, CEYLAN",5.72E-06,,
45752,7 SUR EXTREMADURA,5.72E-06,,
45753,2a. CDA. DEL RIO,5.72E-06,,
45754,GRAL. JUAN MANUEL TORREA,5.72E-06,,
45755,CAMPAMENTO CIUDAD REFUJIO ANDADOR 3 MODELO 75,5.72E-06,,
45756,2o. AND. CENTRAL,5.72E-06,,
45788,CALLE ESCORPIO,5.72E-06,,
45790,HACIENDA DE SAN DIEGO DE LOS PADRES,5.72E-06,,
45845,TERCER ANDADOR DE ROSARIO CASTELLANOS,5.72E-06,,
45832,CALLE EGIPTO,5.72E-06,,
45821,CALLE 5 DE LA ESTRELLA,5.72E-06,,
45822,ESTACION   DEL METRO ZOCALO,5.72E-06,,
45823,ANDADOR GUILLERMO LARRAZABAL,5.72E-06,,
45824,MORENO DURAN,5.72E-06,,
45826,PRIVADA  DE  CHIMALISTAC,5.72E-06,,
45827,CALLE CEIBA,5.72E-06,,
45828,PASILLO 5 LETRAS O P,5.72E-06,,
45829,PARADERO DE LA CENTRAL DE ABASTO,5.72E-06,,
45830,CUICUIHILCO,5.72E-06,,
45831,PRIMERA PRIVADA DE FRANCISCO I MADERO NUMERO 9,5.72E-06,,
45833,2A CARLOS MANCILLA,5.72E-06,,
45791,FRESNOS (LAS CALLES QUEDAN FUERA DEL PERIMETRO DE LA COLONIA),5.72E-06,,
45834,EJE 1 GRANADITAS,5.72E-06,,
45836,CERRADA DE MARCO ANTONIO VARGAS   (NO ESTA MARCADA EN EL MAPA LA CERRADA),5.72E-06,,
45837,MARIA AUXILIADORA,5.72E-06,,
45838,CIRCUITO  MARTINEZ DE CASTRO,5.72E-06,,
45839,CDA NINOS HEROES,5.72E-06,,
45840,PROLONGACION PLAYA CLAVELITOS,5.72E-06,,
45841,AV. EL ROSARIO (CETRAM EL ROSARIO),5.72E-06,,
45842,POSITO      -POCITO-,5.72E-06,,
45843,CAMINO AL CAPULIN,5.72E-06,,
45844,CRESPUSCULO,5.72E-06,,
45820,AVENIDA 1ERO DE MAYO,5.72E-06,,
45819,UNIVESIDAD,5.72E-06,,
45817,ANDADOR ANALCO,5.72E-06,,
45816,CARRACCI Y CADIZ NORTE,5.72E-06,,
45793,BOLULEVARD ADOLFO LOPEZ MATEOS,5.72E-06,,
45795,CALLE NORTE 135 A,5.72E-06,,
45796,PTO. CAMPECHE,5.72E-06,,
45797,"GENERAL MARIANO MONTERDE, 61 INT. 5",5.72E-06,,
45798,CERRADA DE,5.72E-06,,
45799,CDA. DE FERNANDO CELADA,5.72E-06,,
45800,AV. XOCHIMILCO TULYEHUALCO,5.72E-06,,
45801,ZONA 32 33,5.72E-06,,
45802,"AVENIDA DEL ROSAL,",5.72E-06,,
45803,PURISIMA NUMERO 13,5.72E-06,,
45804,AV.CIRCUNVALACION S/N MZ. 11 ED. 38 DPTO. 101,5.72E-06,,
45805,CERRDA BICENTENARIO,5.72E-06,,
45807,485 Y 487,5.72E-06,,
45808,ALFONSO HERRERA (OMAS ALBA EDISON),5.72E-06,,
45809,AVENIDA PRINCIPAL CENTRAL DE ABASTOS,5.72E-06,,
45810,LERDO DE TEJADA Y GUACAMAYAS,5.72E-06,,
45811,AV.ERMITA IZTAPALAPA,5.72E-06,,
45812,AVENIDA HEROICO ESCUELA NAVAL MILITAR,5.72E-06,,
45813,ANDREA  DEL SARTO,5.72E-06,,
45814,MIGUEL BERNRD,5.72E-06,,
45815,TEPANTENGO,5.72E-06,,
44604,CALZADA ZARAGOZA (NO ESTA MARCADA EN LA COLONIA),5.72E-06,,
44602,PASEO DE LA REFORMA 222,5.72E-06,,
46416,OFICINA DE SERVICIOS DE ATENCION CIUDADANA,5.72E-06,,
43409,NORTE 24 A,5.72E-06,,
43397,MELCHOR OCAMPO SIN NUMERO,5.72E-06,,
43398,FUERTE DE SAN JAN DE ULUA (NO ESTA MARCADA),5.72E-06,,
43399,TRINIDAD  SALGADO,5.72E-06,,
43400,AV. NUEVO LEON 117,5.72E-06,,
43401,"AVENIDA 608, BAR STAFF YARDAS Y CAFE,",5.72E-06,,
43403,ESTEBAN MARTI          -ESTEBAN MARIN-,5.72E-06,,
43404,VIOLETA 26,5.72E-06,,
43405,IGNACIO ZARAGOZA 1070,5.72E-06,,
43407,AV. VASCO DE QUIROGA 1648,5.72E-06,,
43408,SIMON  BOLIVAR,5.72E-06,,
43410,PRIMERA PRIVADA DE F.C. INDUSTRIAL,5.72E-06,,
43395,NTE. 1-E,5.72E-06,,
43411,FELIX BERENGUER DE MARQUINA,5.72E-06,,
43412,LIC. BARRIO MALDONADO,5.72E-06,,
43413,CALLE  LATINOS  NUMERO  70 (PLANTA BAJA),5.72E-06,,
43414,MAGDALENO ITA MZN115 LT13,5.72E-06,,
43415,PERIFERICO SUR BOULEVARD ADOLFO LOPEZ MATEOS,5.72E-06,,
43416,MINA (LA CALLE NO SE UBICA),5.72E-06,,
43417,UDADUKLA,5.72E-06,,
43418,SEGUNDA CERRADA DE TRASIMENTO,5.72E-06,,
43419,AVENIDA JUAREZB 12,5.72E-06,,
43420,VIADUCTO TLALPAN  BELISARIO DOMINGUEZ SECCION XVI,5.72E-06,,
43396,JOSE LOPEZ PORTILLO (LA CALLE NO SE UBICA),5.72E-06,,
43394,AVENIDA   510,5.72E-06,,
43479,NIEVES,5.72E-06,,
43380,PLAZA SAN PABLO (EJE 1 SUR),5.72E-06,,
43370,OCOTAL174,5.72E-06,,
43371,CALLE 659 #77,5.72E-06,,
43372,"CALLE 16, NÂ°143",5.72E-06,,
43373,BUENA SUERTE 193,5.72E-06,,
43374,SABADEL 54,5.72E-06,,
43375,TOSNENE 95,5.72E-06,,
43376,RETORNO DE  LANZ DURET,5.72E-06,,
43377,SEGUNDA CERRADA  DE PARAISO,5.72E-06,,
43378,JORGE GONZALEZ REINA (NO EXISTE LA CALLE),5.72E-06,,
43379,ARLES #3,5.72E-06,,
43381,JUMIL 14,5.72E-06,,
43393,OTE. 229,5.72E-06,,
43382,CALLE  NORTE 76A,5.72E-06,,
43383,RINCONADA     -NO ESTA MARCADA-,5.72E-06,,
43384,TERCERA PRIVADA DE MANUELA SAENZ,5.72E-06,,
43385,CALLE TEJA,5.72E-06,,
43386,MANLIO F.ALTAMIRANO,5.72E-06,,
43387,EJE 2 ORIENTE  CALZADA DE LA VIGA,5.72E-06,,
43388,PASEO DE LA REFORMA Y BASILIO BADILLO,5.72E-06,,
43389,AVENIDA PERIFERICO NORTE,5.72E-06,,
43390,EL GAVILLERO,5.72E-06,,
43391,CALLE  35,5.72E-06,,
43421,CALLE CALEGA },5.72E-06,,
43422,ESEQUIEL ORDUNEZ Y CALLE LUIS G LEON,5.72E-06,,
43423,COMUNAL 32,5.72E-06,,
43465,SUR 113  B,5.72E-06,,
43454,CERRADA FRAY JUAN DE ZUMARRAGA,5.72E-06,,
43455,TLALCOLIGIA       -NO ESTA MARCADA-,5.72E-06,,
43456,OSUNA,5.72E-06,,
43457,DE LA ZANJA,5.72E-06,,
43458,CANELA 668,5.72E-06,,
43459,CALZADA DE LAS AGUILAS 3163,5.72E-06,,
43460,CERRADA JOYITAS,5.72E-06,,
43462,DE LA ERA,5.72E-06,,
43463,EDIFICIO VENEZUELA,5.72E-06,,
43464,AVENIDA RABAUL JARDIN AZPEITIA,5.72E-06,,
43466,TERCERA CERRADA DE CINCO DE MAYO,5.72E-06,,
43424,CERRADA DE ALCANFOR,5.72E-06,,
43467,CALLE VILLA GERIS,5.72E-06,,
43468,AVENIDA    RINCON DEL  SUR,5.72E-06,,
43469,ORIENTE 245-C,5.72E-06,,
43470,PRIVADA DE SUAREZ,5.72E-06,,
43471,CERRADA FRESNO,5.72E-06,,
43472,DOMICILIO DE LA DENUNCIANTE (NO PROPORCIONA DIRECCION),5.72E-06,,
43473,CALLE SANCHEZ COLIN Y WENCESLAO,5.72E-06,,
43474,PROLONGACION MAGNOLIA,5.72E-06,,
43475,AV. DE LOS TORRES,5.72E-06,,
43477,CERRADA DE SAN MIGUELITO,5.72E-06,,
43453,CALLEJON DE CHICOCO,5.72E-06,,
43452,CALLE GUSTAVO DIAZ ORDAZ,5.72E-06,,
43451,CERRADA PERALES FRACCION 11,5.72E-06,,
43450,PRIMERA CERRADA DE    RIO ANTIGUO  (NO ESTA MARCADA),5.72E-06,,
43425,CALLE NORTE 86 A,5.72E-06,,
43426,AVENIDA MIGUEL OTHON DE MENDIZAVAL,5.72E-06,,
43427,ESTACION DEL METRO PANTITLÃN,5.72E-06,,
43428,DOCTOR C. LICEAGA 72,5.72E-06,,
43429,AV.  IMAN,5.72E-06,,
43430,FRIJOL (LA CALLE NO SE UBICA),5.72E-06,,
43431,PERIFERICO ESQUINA CON LA CALLE DE HALCONEDO,5.72E-06,,
43432,MANUEL ESCANDON Y CALLE 3,5.72E-06,,
43433,SANTA URSULA 11,5.72E-06,,
43435,"EDIFICIO 47, DEPARTMENTO 201 ENTRADA A.",5.72E-06,,
43436,SENTIMIENTOS DE LA NACION (LA CALLE NO SE UBICA),5.72E-06,,
43437,TOLETECAS Y ALDAMA,5.72E-06,,
43438,ORIENTE 116 (LA COLONIA REFERIDA NO COINCIDE CON LA DEL RESULTADO DE LA BUSQUEDA,5.72E-06,,
43439,NARCISO MENDOZA 10,5.72E-06,,
43441,CALLE CAMINO VIEJO A MIXCOAC,5.72E-06,,
43443,CALLE FRANCISCO CANO,5.72E-06,,
43444,MELESIO MORALES,5.72E-06,,
43446,MEDELLIN 79,5.72E-06,,
43447,AVENIDA SAN PABLO 15,5.72E-06,,
43448,DIEGO ANGULO INIGUEZ 15,5.72E-06,,
43449,MEXICO-TACUBA 911,5.72E-06,,
43369,CALLEJON DE OTENCO 2,5.72E-06,,
43367,TALISMAN 24,5.72E-06,,
43366,CERRADA AZUCENA,5.72E-06,,
43295,"ALTAVISTA NUMERO 309, LOCAL A",5.72E-06,,
43284,ZEMPOALA FRENTE A EL NUMERO 450,5.72E-06,,
43285,CALLE NUECES A LA ALTURA NUMERO 258,5.72E-06,,
43286,ANDADOR DISTRITO FEDERAL,5.72E-06,,
43287,VASCO DE QUIROGA FRENTE AL NUMERO,5.72E-06,,
43288,NORTE 17 5230,5.72E-06,,
43290,RAFAEL ORPEZA MANZANA 14 LOTE 85,5.72E-06,,
43291,AV NICOLAS LEON ED 45 B,5.72E-06,,
43292,CALLE 1555,5.72E-06,,
43293,CERRADA DE LA JOYA Y 1RA. CERRADA DE BRASILIA,5.72E-06,,
43294,ACCESO  SUR,5.72E-06,,
43296,"AV. 05 DE MAYO  NUMERO 3170,  NOSOCOMIO DR.  ENRIQUE  CABRERA",5.72E-06,,
43308,CARLOS  AUGUSTO LIMBER  ESQ  JUAN PABLO ALDASORO,5.72E-06,,
43297,TONATHIU  NUM  48,5.72E-06,,
43298,LOS CIPRECES,5.72E-06,,
43299,AV POZOS  Y   LAS  TORRES,5.72E-06,,
43300,CANAL DE NORTE Y GRAN CANAL,5.72E-06,,
43301,ESCUELA NAVAL MILITAR 624,5.72E-06,,
43302,16 DE SEPTIEMBRE NUMERO 23,5.72E-06,,
43303,YOLILIZTLI CASI ESQUINA CON MIXTECAS,5.72E-06,,
43304,RABCHO COCUITE 123,5.72E-06,,
43305,ESTRELLA Y SAN LORENZO,5.72E-06,,
43306,LOMA AZUL S/N,5.72E-06,,
43283,ROMO ANGUIANO,5.72E-06,,
43282,AV. TOLUCA Y PRIMERA CERRADA DE TOLUCA,5.72E-06,,
43281,TLALATELI  Y  AVENIDA MEXICO,5.72E-06,,
43280,CALLE CAFETAL 677,5.72E-06,,
43253,ANDADOR 14 FUERTE DE GUADALUPE,5.72E-06,,
43254,CALLE BEGONIA,5.72E-06,,
43255,"CIRCUITO ESCOLAR, VIVERO BAJO",5.72E-06,,
43256,16 DE SEPTIEMBRE CALTONGO,5.72E-06,,
43257,CDA.OHTENCO,5.72E-06,,
43261,EJE 5 SECCION B  FRENTE VI,5.72E-06,,
43263,ARROYO EL MORTERO,5.72E-06,,
43264,REINOSA,5.72E-06,,
43265,PIZATONCO,5.72E-06,,
43266,"SEGUNDA CERRADA DE MAGNOLIA,",5.72E-06,,
43267,AVENIDA DEL CARRIL,5.72E-06,,
43268,PALMA NTE.,5.72E-06,,
43269,CALLE PAPALOTL,5.72E-06,,
43270,5 PRIVADA SANTA ANA,5.72E-06,,
43271,ORIZBA,5.72E-06,,
43273,AVENIDA PACIFICO 479 B,5.72E-06,,
43275,AV. JARDIN NUMERO 356,5.72E-06,,
43276,DOCTOR ANGEL DEL CAMPO,5.72E-06,,
43277,EN AVENIDA 4 SIN NUMERO,5.72E-06,,
43278,JAZMIN ESQUINA CON RIO SAN BUENAVENTURA,5.72E-06,,
43279,"AVENIDA UNIVERSIDAD,    ESQUINA  RIO  CHURUBUSCO",5.72E-06,,
43307,NO PROPORCIONA CALLE EL DENUNCIANTE LO IGNORA,5.72E-06,,
43309,CIHUELO,5.72E-06,,
43365,HEROES DE NACOZARI CASI y VIDAL ALCOCER,5.72E-06,,
43352,ANDADOR 31 DE LUIS YUREN,5.72E-06,,
43339,VERACRUZ 56,5.72E-06,,
43340,BATALLA DE OCOTLÃN,5.72E-06,,
43341,SANTO DOMINGO 30,5.72E-06,,
43344,FUERTE DEL CALLAO (CENTRAL),5.72E-06,,
43345,AVENIDA TICAOMAN,5.72E-06,,
43347,SUR 113 B 2511,5.72E-06,,
43348,CIRCUITO DEL LAGO,5.72E-06,,
43349,"ORIENTE 158 , NO.189",5.72E-06,,
43350,CANAL OTHENCO,5.72E-06,,
43351,AVENIDA DE LA FELICIDAD,5.72E-06,,
43353,AVENIDA TOLXA,5.72E-06,,
43310,CARRETERA PICACHO Y TIZIMIN,5.72E-06,,
43354,GARDENIA (NO SE LOCALIZA EN COLONIA DE HECHOS),5.72E-06,,
43355,VALLE COLORINES,5.72E-06,,
43356,CALLEJON DE APALTLACO,5.72E-06,,
43357,JACARANDAS 1 Y 16 DE SEPTIEMBRE,5.72E-06,,
43359,VOLCAN MISTI,5.72E-06,,
43360,EMILIANO ZAPATA (NO SE UBICA EN COLONIA DE HECHOS),5.72E-06,,
43361,CALLE EUCALIPTO,5.72E-06,,
43362,CAFETA (NO SE UBICO LA CALLE DE REFERENCIA),5.72E-06,,
43363,NORTE 64A 7824,5.72E-06,,
43364,ANTONIO GENERAL DE LEON,5.72E-06,,
43338,CONGRESO DE UNION,5.72E-06,,
27193,CERRADA DE LEON NUMERO 17 CASA 8,5.72E-06,,
43336,VICENTE NAVARRO,5.72E-06,,
43335,FRANZ HANZ   (FRANZ HALS),5.72E-06,,
43311,AVENIDA LUIS G. URBINA,5.72E-06,,
43312,COPA DE ORO,5.72E-06,,
43313,DISTRIBUIDOR VIAL HEBERTO CASTILLO        -NO ESTA MARCADA-,5.72E-06,,
43314,EN UN TERRE NO UBICADO EN EL POBALDO DE SANTA CECILIA XOCHIMILCO,5.72E-06,,
43315,DR. JOSEMARIA  VERTIZ,5.72E-06,,
43316,OCOZOLIN,5.72E-06,,
43318,"AVENIDA SANTA ANA, ZONA 2, EDIFICIO 4, ENTRADA A,",5.72E-06,,
43319,"CALLE NORTE 54 A MANZANA 14 LOTE UNO, COLONIA EMILIANO ZAPATA",5.72E-06,,
43320,EDIFICIO H27-11,5.72E-06,,
43321,CENTENARIO Y FERROCARRIL HIDALGO,5.72E-06,,
43322,CARLOS LG (NO ESTA MARCADA),5.72E-06,,
43324,RAFAEL VALDOVINOS,5.72E-06,,
43325,LAGO GUIJA 40,5.72E-06,,
43326,FERROCARRIL DE CUERNAVACA 697,5.72E-06,,
43327,ANTIGUO CAMINO A LOS REYES,5.72E-06,,
43328,HACIENDA DE MIMIAHUAPAN ORIENTE FLORESTA COYOACAN,5.72E-06,,
43329,CALLE OLLIN,5.72E-06,,
43330,TEXCOCO 237,5.72E-06,,
43332,ROSARIO 422,5.72E-06,,
43333,LAGO ONEGA 152,5.72E-06,,
43334,ANILLO PERIFERICO CANAL DE GARAY-EUGENIO GIRON,5.72E-06,,
43478,ESTACIONAMIENTO DEL CENTRO UNIVERISTARIO CULTURAL,5.72E-06,,
43480,CALLE CIPRESS,5.72E-06,,
43706,ESTACION DEL METRO PORTALES. AVENIDA  TLALPAN,5.72E-06,,
43638,AV.  ERMITA IZTAPALAPA,5.72E-06,,
43625,AVENIDA 20 DE NOVIEMBRE SAN NICOLAS TETELCO,5.72E-06,,
43626,GIACOMO BPUCCINI,5.72E-06,,
